stationID,tz,obsTimeLocal,epoch,lat,lon,humidityAvg,temperature,windspeed,dewpt,heatindex,precipRate
KWICOTTA13,America/Chicago,2017-01-03 00:59:00,1483426740000,43.057156,-89.2442,95,1,2,1,,0.0
KWICOTTA13,America/Chicago,2017-01-03 01:59:00,1483430340000,43.057156,-89.2442,96,1,2,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 02:59:00,1483433940000,43.057156,-89.2442,96,1,4,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 03:59:00,1483437540000,43.057156,-89.2442,96,1,3,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 04:59:00,1483441140000,43.057156,-89.2442,96,1,3,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 05:59:00,1483444740000,43.057156,-89.2442,96,1,2,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 06:59:00,1483448340000,43.057156,-89.2442,96,1,3,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 07:59:00,1483451940000,43.057156,-89.2442,96,0,4,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 08:59:00,1483455540000,43.057156,-89.2442,96,0,5,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 09:59:00,1483459140000,43.057156,-89.2442,96,0,7,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 10:59:00,1483462740000,43.057156,-89.2442,96,1,12,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 11:59:00,1483466340000,43.057156,-89.2442,94,1,10,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 12:59:00,1483469940000,43.057156,-89.2442,91,1,12,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 13:59:00,1483473540000,43.057156,-89.2442,91,1,10,0,,0.0
KWICOTTA13,America/Chicago,2017-01-03 14:55:00,1483476900000,43.057156,-89.2442,90,1,14,-1,,0.0
KWICOTTA13,America/Chicago,2017-01-03 15:55:00,1483480500000,43.057156,-89.2442,88,0,18,-1,,0.0
KWICOTTA13,America/Chicago,2017-01-03 16:56:00,1483484160000,43.057156,-89.2442,85,0,16,-2,,0.0
KWICOTTA13,America/Chicago,2017-01-03 17:56:00,1483487760000,43.057156,-89.2442,81,-1,18,-4,,0.0
KWICOTTA13,America/Chicago,2017-01-03 18:56:00,1483491360000,43.057156,-89.2442,79,-3,16,-6,,0.0
KWICOTTA13,America/Chicago,2017-01-03 19:56:00,1483494960000,43.057156,-89.2442,77,-6,21,-9,,0.0
KWICOTTA13,America/Chicago,2017-01-03 20:56:00,1483498560000,43.057156,-89.2442,74,-8,19,-11,,0.0
KWICOTTA13,America/Chicago,2017-01-03 21:56:00,1483502160000,43.057156,-89.2442,75,-9,19,-13,,0.0
KWICOTTA13,America/Chicago,2017-01-03 22:56:00,1483505760000,43.057156,-89.2442,76,-11,20,-14,,0.0
KWICOTTA13,America/Chicago,2017-01-03 23:57:00,1483509420000,43.057156,-89.2442,76,-12,20,-15,,0.0
KWICOTTA13,America/Chicago,2017-01-02 00:55:00,1483340100000,43.057156,-89.2442,79,-2,5,-6,,0.0
KWICOTTA13,America/Chicago,2017-01-02 01:55:00,1483343700000,43.057156,-89.2442,80,-3,5,-6,,0.0
KWICOTTA13,America/Chicago,2017-01-02 02:55:00,1483347300000,43.057156,-89.2442,81,-3,9,-6,,0.0
KWICOTTA13,America/Chicago,2017-01-02 03:55:00,1483350900000,43.057156,-89.2442,82,-4,8,-6,,0.0
KWICOTTA13,America/Chicago,2017-01-02 04:55:00,1483354500000,43.057156,-89.2442,84,-3,5,-6,,0.0
KWICOTTA13,America/Chicago,2017-01-02 05:55:00,1483358100000,43.057156,-89.2442,85,-3,5,-5,,0.0
KWICOTTA13,America/Chicago,2017-01-02 06:55:00,1483361700000,43.057156,-89.2442,87,-2,7,-4,,0.0
KWICOTTA13,America/Chicago,2017-01-02 07:55:00,1483365300000,43.057156,-89.2442,87,-2,8,-4,,0.0
KWICOTTA13,America/Chicago,2017-01-02 08:55:00,1483368900000,43.057156,-89.2442,87,-1,9,-3,,0.0
KWICOTTA13,America/Chicago,2017-01-02 09:55:00,1483372500000,43.057156,-89.2442,85,0,10,-2,,0.0
KWICOTTA13,America/Chicago,2017-01-02 10:55:00,1483376100000,43.057156,-89.2442,81,2,13,-1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 11:55:00,1483379700000,43.057156,-89.2442,79,2,11,-1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 12:55:00,1483383300000,43.057156,-89.2442,78,3,6,0,,0.0
KWICOTTA13,America/Chicago,2017-01-02 13:55:00,1483386900000,43.057156,-89.2442,78,3,5,0,,0.0
KWICOTTA13,America/Chicago,2017-01-02 14:55:00,1483390500000,43.057156,-89.2442,79,3,8,0,,0.0
KWICOTTA13,America/Chicago,2017-01-02 15:55:00,1483394100000,43.057156,-89.2442,84,3,11,0,,0.0
KWICOTTA13,America/Chicago,2017-01-02 16:55:00,1483397700000,43.057156,-89.2442,88,2,10,0,,0.0
KWICOTTA13,America/Chicago,2017-01-02 17:55:00,1483401300000,43.057156,-89.2442,92,2,7,1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 18:57:00,1483405020000,43.057156,-89.2442,94,1,7,1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 19:58:00,1483408680000,43.057156,-89.2442,94,1,6,1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 20:59:00,1483412340000,43.057156,-89.2442,95,1,7,1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 21:59:00,1483415940000,43.057156,-89.2442,95,1,7,1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 22:59:00,1483419540000,43.057156,-89.2442,95,1,4,1,,0.0
KWICOTTA13,America/Chicago,2017-01-02 23:59:00,1483423140000,43.057156,-89.2442,95,1,3,1,,0.0
