stationID,tz,obsTimeLocal,epoch,lat,lon,humidityAvg,temperature,windspeed,dewpt,heatindex,precipRate
KWIEVANS3,America/Chicago,2017-01-01 00:55:00,1483253700000,42.797874,-89.30606,93,-9,1,-10,,0.0
KWIEVANS3,America/Chicago,2017-01-01 01:55:00,1483257300000,42.797874,-89.30606,93,-9,2,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-01 02:56:00,1483260960000,42.797874,-89.30606,93,-10,3,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-01 03:58:00,1483264680000,42.797874,-89.30606,93,-10,3,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-01 04:57:00,1483268220000,42.797874,-89.30606,93,-9,4,-10,,0.0
KWIEVANS3,America/Chicago,2017-01-01 05:57:00,1483271820000,42.797874,-89.30606,93,-9,6,-10,,0.0
KWIEVANS3,America/Chicago,2017-01-01 06:58:00,1483275480000,42.797874,-89.30606,93,-9,7,-10,,0.0
KWIEVANS3,America/Chicago,2017-01-01 07:59:00,1483279140000,42.797874,-89.30606,92,-8,7,-9,,0.0
KWIEVANS3,America/Chicago,2017-01-01 08:59:00,1483282740000,42.797874,-89.30606,90,-7,13,-9,,0.0
KWIEVANS3,America/Chicago,2017-01-01 09:59:00,1483286340000,42.797874,-89.30606,84,-4,9,-7,,0.0
KWIEVANS3,America/Chicago,2017-01-01 10:54:00,1483289640000,42.797874,-89.30606,77,-2,6,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 11:59:00,1483293540000,42.797874,-89.30606,69,0,6,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 12:54:00,1483296840000,42.797874,-89.30606,66,1,12,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-01 13:55:00,1483300500000,42.797874,-89.30606,69,1,10,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-01 14:56:00,1483304160000,42.797874,-89.30606,73,1,9,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-01 15:56:00,1483307760000,42.797874,-89.30606,73,1,5,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-01 16:57:00,1483311420000,42.797874,-89.30606,75,0,1,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-01 17:58:00,1483315080000,42.797874,-89.30606,80,-2,0,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 18:55:00,1483318500000,42.797874,-89.30606,82,-2,2,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 19:55:00,1483322100000,42.797874,-89.30606,82,-2,4,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 20:56:00,1483325760000,42.797874,-89.30606,84,-2,4,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 21:56:00,1483329360000,42.797874,-89.30606,84,-2,2,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 22:59:00,1483333140000,42.797874,-89.30606,83,-3,1,-5,,0.0
KWIEVANS3,America/Chicago,2017-01-01 23:55:00,1483336500000,42.797874,-89.30606,85,-4,4,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-14 00:56:00,1484376960000,42.797874,-89.30606,81,-11,6,-14,,0.0
KWIEVANS3,America/Chicago,2017-01-14 01:58:00,1484380680000,42.797874,-89.30606,83,-11,7,-13,,0.0
KWIEVANS3,America/Chicago,2017-01-14 02:58:00,1484384280000,42.797874,-89.30606,83,-11,6,-13,,0.0
KWIEVANS3,America/Chicago,2017-01-14 03:59:00,1484387940000,42.797874,-89.30606,85,-11,6,-13,,0.0
KWIEVANS3,America/Chicago,2017-01-14 04:54:00,1484391240000,42.797874,-89.30606,85,-10,6,-13,,0.0
KWIEVANS3,America/Chicago,2017-01-14 05:56:00,1484394960000,42.797874,-89.30606,83,-10,4,-12,,0.0
KWIEVANS3,America/Chicago,2017-01-14 06:56:00,1484398560000,42.797874,-89.30606,85,-10,2,-12,,0.0
KWIEVANS3,America/Chicago,2017-01-14 07:57:00,1484402220000,42.797874,-89.30606,85,-9,2,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-14 08:59:00,1484405940000,42.797874,-89.30606,83,-8,4,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-14 09:54:00,1484409240000,42.797874,-89.30606,80,-6,2,-9,,0.0
KWIEVANS3,America/Chicago,2017-01-14 10:55:00,1484412900000,42.797874,-89.30606,77,-5,1,-8,,0.0
KWIEVANS3,America/Chicago,2017-01-14 11:56:00,1484416560000,42.797874,-89.30606,71,-2,2,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-14 12:57:00,1484420220000,42.797874,-89.30606,68,-1,2,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-14 13:57:00,1484423820000,42.797874,-89.30606,69,-1,2,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-14 14:59:00,1484427540000,42.797874,-89.30606,68,-1,2,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-14 15:55:00,1484430900000,42.797874,-89.30606,70,-1,1,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-14 16:56:00,1484434560000,42.797874,-89.30606,72,-2,1,-7,,0.0
KWIEVANS3,America/Chicago,2017-01-14 17:59:00,1484438340000,42.797874,-89.30606,82,-5,0,-8,,0.0
KWIEVANS3,America/Chicago,2017-01-14 18:56:00,1484441760000,42.797874,-89.30606,86,-6,0,-8,,0.0
KWIEVANS3,America/Chicago,2017-01-14 19:56:00,1484445360000,42.797874,-89.30606,89,-8,0,-9,,0.0
KWIEVANS3,America/Chicago,2017-01-14 20:56:00,1484448960000,42.797874,-89.30606,90,-8,0,-10,,0.0
KWIEVANS3,America/Chicago,2017-01-14 21:57:00,1484452620000,42.797874,-89.30606,90,-9,0,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-14 22:58:00,1484456280000,42.797874,-89.30606,89,-10,0,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-14 23:59:00,1484459940000,42.797874,-89.30606,90,-10,1,-12,,0.0
KWIEVANS3,America/Chicago,2017-01-02 00:56:00,1483340160000,42.797874,-89.30606,89,-4,3,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-02 01:56:00,1483343760000,42.797874,-89.30606,92,-6,3,-7,,0.0
KWIEVANS3,America/Chicago,2017-01-02 02:57:00,1483347420000,42.797874,-89.30606,92,-5,7,-7,,0.0
KWIEVANS3,America/Chicago,2017-01-02 03:57:00,1483351020000,42.797874,-89.30606,92,-6,5,-7,,0.0
KWIEVANS3,America/Chicago,2017-01-02 04:58:00,1483354680000,42.797874,-89.30606,93,-5,3,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-02 05:59:00,1483358340000,42.797874,-89.30606,93,-4,4,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-02 06:59:00,1483361940000,42.797874,-89.30606,93,-3,2,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-02 07:54:00,1483365240000,42.797874,-89.30606,93,-3,4,-4,,0.0
KWIEVANS3,America/Chicago,2017-01-02 08:55:00,1483368900000,42.797874,-89.30606,91,-1,5,-3,,0.0
KWIEVANS3,America/Chicago,2017-01-02 09:57:00,1483372620000,42.797874,-89.30606,86,1,7,-1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 10:58:00,1483376280000,42.797874,-89.30606,84,2,6,-1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 11:54:00,1483379640000,42.797874,-89.30606,81,3,5,0,,0.0
KWIEVANS3,America/Chicago,2017-01-02 12:56:00,1483383360000,42.797874,-89.30606,81,3,4,0,,0.0
KWIEVANS3,America/Chicago,2017-01-02 13:59:00,1483387140000,42.797874,-89.30606,85,3,4,0,,0.0
KWIEVANS3,America/Chicago,2017-01-02 14:56:00,1483390560000,42.797874,-89.30606,91,2,3,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 15:57:00,1483394220000,42.797874,-89.30606,88,3,2,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 16:59:00,1483397940000,42.797874,-89.30606,90,2,3,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 17:57:00,1483401420000,42.797874,-89.30606,95,2,3,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 18:59:00,1483405140000,42.797874,-89.30606,97,1,2,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 19:55:00,1483408500000,42.797874,-89.30606,98,1,2,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 20:59:00,1483412340000,42.797874,-89.30606,98,1,1,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 21:59:00,1483415940000,42.797874,-89.30606,98,1,3,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 22:59:00,1483419540000,42.797874,-89.30606,98,1,2,1,,0.0
KWIEVANS3,America/Chicago,2017-01-02 23:59:00,1483423140000,42.797874,-89.30606,98,1,3,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 00:54:00,1483426440000,42.797874,-89.30606,98,1,3,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 01:54:00,1483430040000,42.797874,-89.30606,98,1,4,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 02:54:00,1483433640000,42.797874,-89.30606,98,1,4,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 03:55:00,1483437300000,42.797874,-89.30606,98,1,3,1,,0.25
KWIEVANS3,America/Chicago,2017-01-03 04:55:00,1483440900000,42.797874,-89.30606,98,1,4,1,,0.25
KWIEVANS3,America/Chicago,2017-01-03 05:06:00,1483441560000,42.797874,-89.30606,98,1,6,1,,0.25
KWIEVANS3,America/Chicago,2017-01-03 07:57:00,1483451820000,42.797874,-89.30606,98,1,3,0,,0.51
KWIEVANS3,America/Chicago,2017-01-03 08:57:00,1483455420000,42.797874,-89.30606,98,1,2,0,,0.0
KWIEVANS3,America/Chicago,2017-01-03 09:57:00,1483459020000,42.797874,-89.30606,98,1,2,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 10:59:00,1483462740000,42.797874,-89.30606,98,1,5,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 11:54:00,1483466040000,42.797874,-89.30606,97,1,5,1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 12:54:00,1483469640000,42.797874,-89.30606,91,2,4,0,,0.0
KWIEVANS3,America/Chicago,2017-01-03 13:54:00,1483473240000,42.797874,-89.30606,91,2,5,0,,0.0
KWIEVANS3,America/Chicago,2017-01-03 14:55:00,1483476900000,42.797874,-89.30606,91,1,4,0,,0.0
KWIEVANS3,America/Chicago,2017-01-03 15:55:00,1483480500000,42.797874,-89.30606,92,1,4,-1,,0.0
KWIEVANS3,America/Chicago,2017-01-03 16:55:00,1483484100000,42.797874,-89.30606,90,0,4,-2,,0.0
KWIEVANS3,America/Chicago,2017-01-03 17:56:00,1483487760000,42.797874,-89.30606,86,-1,4,-3,,0.0
KWIEVANS3,America/Chicago,2017-01-03 18:58:00,1483491480000,42.797874,-89.30606,83,-3,6,-6,,0.0
KWIEVANS3,America/Chicago,2017-01-03 19:58:00,1483495080000,42.797874,-89.30606,80,-6,4,-9,,0.25
KWIEVANS3,America/Chicago,2017-01-03 20:55:00,1483498500000,42.797874,-89.30606,79,-7,5,-11,,0.0
KWIEVANS3,America/Chicago,2017-01-03 21:56:00,1483502160000,42.797874,-89.30606,80,-9,4,-12,,0.0
KWIEVANS3,America/Chicago,2017-01-03 22:56:00,1483505760000,42.797874,-89.30606,81,-11,3,-13,,0.0
KWIEVANS3,America/Chicago,2017-01-03 23:56:00,1483509360000,42.797874,-89.30606,82,-12,3,-14,,0.25
KWIEVANS3,America/Chicago,2017-01-13 00:56:00,1484290560000,42.797874,-89.30606,83,-12,3,-15,,0.0
KWIEVANS3,America/Chicago,2017-01-13 01:58:00,1484294280000,42.797874,-89.30606,77,-12,5,-15,,0.0
KWIEVANS3,America/Chicago,2017-01-13 02:58:00,1484297880000,42.797874,-89.30606,73,-12,8,-16,,0.0
KWIEVANS3,America/Chicago,2017-01-13 03:58:00,1484301480000,42.797874,-89.30606,73,-12,9,-16,,0.0
KWIEVANS3,America/Chicago,2017-01-13 04:58:00,1484305080000,42.797874,-89.30606,72,-13,9,-17,,0.0
