stationID,tz,obsTimeLocal,epoch,lat,lon,humidityAvg,temperature,windspeed,dewpt,heatindex,precipRate
KWIOREGO2,America/Chicago,2017-01-04 00:55:00,1483512900000,42.9209,-89.3856,79,-12,10,-15,,0.0
KWIOREGO2,America/Chicago,2017-01-04 01:57:00,1483516620000,42.9209,-89.3856,78,-13,8,-16,,0.0
KWIOREGO2,America/Chicago,2017-01-04 02:57:00,1483520220000,42.9209,-89.3856,78,-14,10,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 03:58:00,1483523880000,42.9209,-89.3856,78,-14,9,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 04:59:00,1483527540000,42.9209,-89.3856,79,-14,10,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 05:57:00,1483531020000,42.9209,-89.3856,80,-15,9,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 06:58:00,1483534680000,42.9209,-89.3856,80,-15,9,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-04 07:59:00,1483538340000,42.9209,-89.3856,79,-15,10,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-04 08:54:00,1483541640000,42.9209,-89.3856,77,-15,9,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-04 09:55:00,1483545300000,42.9209,-89.3856,74,-15,12,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-04 10:55:00,1483548900000,42.9209,-89.3856,71,-13,11,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 11:55:00,1483552500000,42.9209,-89.3856,69,-12,10,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 12:55:00,1483556100000,42.9209,-89.3856,67,-12,11,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 13:55:00,1483559700000,42.9209,-89.3856,66,-12,11,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 14:54:00,1483563240000,42.9209,-89.3856,65,-12,11,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 15:56:00,1483566960000,42.9209,-89.3856,66,-12,10,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-04 16:38:00,1483569480000,42.9209,-89.3856,68,-13,9,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-04 17:55:00,1483574100000,42.9209,-89.3856,73,-15,8,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-04 18:54:00,1483577640000,42.9209,-89.3856,72,-15,7,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-04 19:56:00,1483581360000,42.9209,-89.3856,73,-15,8,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-04 20:56:00,1483584960000,42.9209,-89.3856,74,-16,9,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-04 21:57:00,1483588620000,42.9209,-89.3856,71,-16,8,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-04 22:57:00,1483592220000,42.9209,-89.3856,70,-16,8,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-04 23:57:00,1483595820000,42.9209,-89.3856,70,-16,7,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-10 00:55:00,1484031300000,42.9209,-89.3856,84,-1,7,-3,,0.0
KWIOREGO2,America/Chicago,2017-01-10 01:56:00,1484034960000,42.9209,-89.3856,85,-1,7,-3,,0.0
KWIOREGO2,America/Chicago,2017-01-10 02:54:00,1484038440000,42.9209,-89.3856,87,0,7,-2,,0.0
KWIOREGO2,America/Chicago,2017-01-10 03:59:00,1484042340000,42.9209,-89.3856,90,1,7,-1,,0.0
KWIOREGO2,America/Chicago,2017-01-10 04:57:00,1484045820000,42.9209,-89.3856,93,1,7,0,,0.0
KWIOREGO2,America/Chicago,2017-01-10 05:59:00,1484049540000,42.9209,-89.3856,94,1,7,0,,0.0
KWIOREGO2,America/Chicago,2017-01-10 06:55:00,1484052900000,42.9209,-89.3856,95,1,7,0,,0.76
KWIOREGO2,America/Chicago,2017-01-10 07:54:00,1484056440000,42.9209,-89.3856,95,2,7,1,,1.52
KWIOREGO2,America/Chicago,2017-01-10 08:59:00,1484060340000,42.9209,-89.3856,95,2,7,1,,3.56
KWIOREGO2,America/Chicago,2017-01-10 09:55:00,1484063700000,42.9209,-89.3856,95,3,7,2,,5.33
KWIOREGO2,America/Chicago,2017-01-10 10:57:00,1484067420000,42.9209,-89.3856,96,3,7,3,,5.84
KWIOREGO2,America/Chicago,2017-01-10 11:59:00,1484071140000,42.9209,-89.3856,96,4,8,4,,8.13
KWIOREGO2,America/Chicago,2017-01-10 12:55:00,1484074500000,42.9209,-89.3856,96,5,5,4,,11.43
KWIOREGO2,America/Chicago,2017-01-10 13:56:00,1484078160000,42.9209,-89.3856,95,6,11,5,,12.95
KWIOREGO2,America/Chicago,2017-01-10 14:56:00,1484081760000,42.9209,-89.3856,89,4,15,2,,12.95
KWIOREGO2,America/Chicago,2017-01-10 15:56:00,1484085360000,42.9209,-89.3856,90,2,16,0,,12.95
KWIOREGO2,America/Chicago,2017-01-10 16:57:00,1484089020000,42.9209,-89.3856,84,1,18,-2,,12.95
KWIOREGO2,America/Chicago,2017-01-10 17:58:00,1484092680000,42.9209,-89.3856,82,-1,19,-4,,12.95
KWIOREGO2,America/Chicago,2017-01-10 18:56:00,1484096160000,42.9209,-89.3856,81,-4,16,-7,,12.95
KWIOREGO2,America/Chicago,2017-01-10 19:56:00,1484099760000,42.9209,-89.3856,79,-6,21,-9,,12.95
KWIOREGO2,America/Chicago,2017-01-10 20:57:00,1484103420000,42.9209,-89.3856,78,-8,18,-11,,12.95
KWIOREGO2,America/Chicago,2017-01-10 21:56:00,1484106960000,42.9209,-89.3856,78,-8,16,-11,,12.95
KWIOREGO2,America/Chicago,2017-01-10 22:56:00,1484110560000,42.9209,-89.3856,77,-8,13,-12,,12.95
KWIOREGO2,America/Chicago,2017-01-10 23:56:00,1484114160000,42.9209,-89.3856,78,-8,13,-11,,12.95
KWIOREGO2,America/Chicago,2017-01-11 00:58:00,1484117880000,42.9209,-89.3856,78,-8,12,-11,,0.0
KWIOREGO2,America/Chicago,2017-01-11 01:54:00,1484121240000,42.9209,-89.3856,79,-8,9,-11,,0.0
KWIOREGO2,America/Chicago,2017-01-11 02:55:00,1484124900000,42.9209,-89.3856,80,-7,4,-10,,0.0
KWIOREGO2,America/Chicago,2017-01-11 03:55:00,1484128500000,42.9209,-89.3856,80,-7,1,-10,,0.0
KWIOREGO2,America/Chicago,2017-01-11 04:56:00,1484132160000,42.9209,-89.3856,82,-7,1,-10,,0.0
KWIOREGO2,America/Chicago,2017-01-11 05:56:00,1484135760000,42.9209,-89.3856,85,-7,3,-9,,0.0
KWIOREGO2,America/Chicago,2017-01-11 06:56:00,1484139360000,42.9209,-89.3856,87,-6,5,-8,,0.0
KWIOREGO2,America/Chicago,2017-01-11 07:59:00,1484143140000,42.9209,-89.3856,88,-5,5,-7,,0.0
KWIOREGO2,America/Chicago,2017-01-11 08:59:00,1484146740000,42.9209,-89.3856,87,-4,4,-6,,0.0
KWIOREGO2,America/Chicago,2017-01-11 09:56:00,1484150160000,42.9209,-89.3856,86,-3,6,-5,,0.0
KWIOREGO2,America/Chicago,2017-01-11 10:59:00,1484153940000,42.9209,-89.3856,84,-1,6,-3,,0.0
KWIOREGO2,America/Chicago,2017-01-11 11:59:00,1484157540000,42.9209,-89.3856,82,0,3,-2,,0.0
KWIOREGO2,America/Chicago,2017-01-11 12:55:00,1484160900000,42.9209,-89.3856,83,1,2,-2,,0.0
KWIOREGO2,America/Chicago,2017-01-11 13:57:00,1484164620000,42.9209,-89.3856,82,1,2,-2,,0.0
KWIOREGO2,America/Chicago,2017-01-11 14:59:00,1484168340000,42.9209,-89.3856,81,-1,3,-4,,0.0
KWIOREGO2,America/Chicago,2017-01-11 15:55:00,1484171700000,42.9209,-89.3856,83,-2,3,-4,,0.0
KWIOREGO2,America/Chicago,2017-01-11 16:56:00,1484175360000,42.9209,-89.3856,84,-4,4,-6,,0.0
KWIOREGO2,America/Chicago,2017-01-11 17:56:00,1484178960000,42.9209,-89.3856,85,-4,2,-6,,0.0
KWIOREGO2,America/Chicago,2017-01-11 18:59:00,1484182740000,42.9209,-89.3856,87,-5,3,-6,,0.0
KWIOREGO2,America/Chicago,2017-01-11 19:54:00,1484186040000,42.9209,-89.3856,87,-5,5,-7,,0.0
KWIOREGO2,America/Chicago,2017-01-11 20:59:00,1484189940000,42.9209,-89.3856,89,-7,5,-8,,0.0
KWIOREGO2,America/Chicago,2017-01-11 21:58:00,1484193480000,42.9209,-89.3856,89,-8,4,-9,,0.0
KWIOREGO2,America/Chicago,2017-01-11 22:58:00,1484197080000,42.9209,-89.3856,86,-8,3,-10,,0.0
KWIOREGO2,America/Chicago,2017-01-11 23:55:00,1484200500000,42.9209,-89.3856,84,-8,5,-10,,0.0
KWIOREGO2,America/Chicago,2017-01-05 00:57:00,1483599420000,42.9209,-89.3856,72,-16,7,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 01:59:00,1483603140000,42.9209,-89.3856,72,-16,6,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 02:55:00,1483606500000,42.9209,-89.3856,72,-16,6,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 03:57:00,1483610220000,42.9209,-89.3856,72,-16,6,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 04:54:00,1483613640000,42.9209,-89.3856,72,-16,5,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 05:55:00,1483617300000,42.9209,-89.3856,74,-16,4,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-05 06:57:00,1483621020000,42.9209,-89.3856,74,-16,5,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-05 07:58:00,1483624680000,42.9209,-89.3856,75,-15,5,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-05 08:57:00,1483628220000,42.9209,-89.3856,75,-15,6,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-05 09:57:00,1483631820000,42.9209,-89.3856,75,-15,7,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-05 10:59:00,1483635540000,42.9209,-89.3856,71,-14,7,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-05 11:59:00,1483639140000,42.9209,-89.3856,66,-13,9,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-05 12:55:00,1483642500000,42.9209,-89.3856,65,-13,10,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-05 13:56:00,1483646160000,42.9209,-89.3856,65,-14,9,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-05 14:57:00,1483649820000,42.9209,-89.3856,63,-14,9,-19,,0.0
KWIOREGO2,America/Chicago,2017-01-05 15:57:00,1483653420000,42.9209,-89.3856,63,-14,9,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 16:56:00,1483656960000,42.9209,-89.3856,64,-15,8,-20,,0.0
KWIOREGO2,America/Chicago,2017-01-05 17:56:00,1483660560000,42.9209,-89.3856,65,-16,6,-21,,0.0
KWIOREGO2,America/Chicago,2017-01-05 18:56:00,1483664160000,42.9209,-89.3856,67,-16,5,-21,,0.0
KWIOREGO2,America/Chicago,2017-01-05 19:54:00,1483667640000,42.9209,-89.3856,68,-17,5,-21,,0.0
KWIOREGO2,America/Chicago,2017-01-05 20:55:00,1483671300000,42.9209,-89.3856,69,-17,5,-21,,0.0
KWIOREGO2,America/Chicago,2017-01-05 21:56:00,1483674960000,42.9209,-89.3856,72,-18,4,-21,,0.0
KWIOREGO2,America/Chicago,2017-01-05 22:59:00,1483678740000,42.9209,-89.3856,73,-18,6,-22,,0.0
KWIOREGO2,America/Chicago,2017-01-05 23:57:00,1483682220000,42.9209,-89.3856,72,-19,5,-22,,0.0
KWIOREGO2,America/Chicago,2017-01-13 00:58:00,1484290680000,42.9209,-89.3856,72,-11,4,-15,,0.0
KWIOREGO2,America/Chicago,2017-01-13 01:55:00,1484294100000,42.9209,-89.3856,69,-11,5,-16,,0.0
KWIOREGO2,America/Chicago,2017-01-13 02:58:00,1484297880000,42.9209,-89.3856,67,-12,5,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-13 03:58:00,1484301480000,42.9209,-89.3856,69,-12,5,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-13 04:56:00,1484304960000,42.9209,-89.3856,68,-13,4,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-13 05:56:00,1484308560000,42.9209,-89.3856,69,-13,2,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-13 06:56:00,1484312160000,42.9209,-89.3856,67,-13,2,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-13 07:58:00,1484315880000,42.9209,-89.3856,68,-14,1,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-13 08:54:00,1484319240000,42.9209,-89.3856,68,-14,1,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-13 09:59:00,1484323140000,42.9209,-89.3856,66,-13,1,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-13 10:55:00,1484326500000,42.9209,-89.3856,65,-13,1,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-13 11:56:00,1484330160000,42.9209,-89.3856,66,-13,1,-18,,0.0
KWIOREGO2,America/Chicago,2017-01-13 12:57:00,1484333820000,42.9209,-89.3856,66,-12,2,-17,,0.0
KWIOREGO2,America/Chicago,2017-01-13 13:58:00,1484337480000,42.9209,-89.3856,66,-11,2,-16,,0.0
KWIOREGO2,America/Chicago,2017-01-13 14:58:00,1484341080000,42.9209,-89.3856,66,-11,1,-16,,0.0
KWIOREGO2,America/Chicago,2017-01-13 15:59:00,1484344740000,42.9209,-89.3856,66,-11,2,-16,,0.0
KWIOREGO2,America/Chicago,2017-01-13 16:55:00,1484348100000,42.9209,-89.3856,67,-11,1,-16,,0.0
KWIOREGO2,America/Chicago,2017-01-13 17:56:00,1484351760000,42.9209,-89.3856,69,-11,1,-15,,0.0
KWIOREGO2,America/Chicago,2017-01-13 18:56:00,1484355360000,42.9209,-89.3856,70,-11,0,-15,,0.0
KWIOREGO2,America/Chicago,2017-01-13 19:58:00,1484359080000,42.9209,-89.3856,70,-11,0,-15,,0.0
KWIOREGO2,America/Chicago,2017-01-13 20:59:00,1484362740000,42.9209,-89.3856,72,-11,0,-15,,0.0
KWIOREGO2,America/Chicago,2017-01-13 21:56:00,1484366160000,42.9209,-89.3856,74,-11,0,-14,,0.0
KWIOREGO2,America/Chicago,2017-01-13 22:56:00,1484369760000,42.9209,-89.3856,75,-11,0,-14,,0.0
KWIOREGO2,America/Chicago,2017-01-13 23:55:00,1484373300000,42.9209,-89.3856,76,-11,0,-14,,0.0
KWIOREGO2,America/Chicago,2017-01-07 00:57:00,1483772220000,42.9209,-89.3856,74,-18,2,-22,,0.0
KWIOREGO2,America/Chicago,2017-01-07 01:58:00,1483775880000,42.9209,-89.3856,75,-18,2,-22,,0.0
