stationID,tz,obsTimeLocal,epoch,lat,lon,humidityAvg,temperature,windspeed,dewpt,heatindex,precipRate
KWIWAUNA15,America/Chicago,2017-01-08 00:55:00,1483858500000,43.201725,-89.47603,42,-16,2,-26,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 01:56:00,1483862160000,43.201725,-89.47603,42,-17,2,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 02:56:00,1483865760000,43.201725,-89.47603,42,-17,1,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 03:57:00,1483869420000,43.201725,-89.47603,42,-17,3,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 04:58:00,1483873080000,43.201725,-89.47603,43,-18,2,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 05:59:00,1483876740000,43.201725,-89.47603,48,-19,1,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 06:55:00,1483880100000,43.201725,-89.47603,51,-19,1,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 07:55:00,1483883700000,43.201725,-89.47603,51,-19,1,-27,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 08:57:00,1483887420000,43.201725,-89.47603,49,-18,2,-26,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 09:55:00,1483890900000,43.201725,-89.47603,38,-15,2,-26,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 10:55:00,1483894500000,43.201725,-89.47603,36,-15,3,-26,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 11:56:00,1483898160000,43.201725,-89.47603,34,-13,3,-26,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 12:57:00,1483901820000,43.201725,-89.47603,34,-12,7,-24,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 13:58:00,1483905480000,43.201725,-89.47603,32,-11,8,-24,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 14:59:00,1483909140000,43.201725,-89.47603,33,-10,4,-23,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 15:54:00,1483912440000,43.201725,-89.47603,33,-10,5,-23,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 16:55:00,1483916100000,43.201725,-89.47603,37,-10,3,-22,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 17:56:00,1483919760000,43.201725,-89.47603,40,-10,3,-21,,0.0
KWIWAUNA15,America/Chicago,2017-01-08 18:57:00,1483923420000,43.201725,-89.47603,38,-10,4,-21,,0.0
