stationId,latitude,longitude,products
KWIMOUNT106,42.887,-89.752,pws
KWINEWGL13,42.836,-89.664,pws
KWINEWGL8,42.8516,-89.63467,pws
KWINEWGL10,42.85091,-89.62687,pws
KWIBELLE17,42.869,-89.626,pws
KWINEWGL14,42.83497,-89.62283,pws
KWINEWGL4,42.81762,-89.63554,pws
KWIMOUNT29,42.85817,-89.81546,pws
KWINEWGL18,42.809,-89.638,pws
KWIMOUNT20,42.88914,-89.81162,pws
KWINEWGL16,42.85317,-89.60042,pws
KWINEWGL6,42.85324,-89.60037,pws
KWIVERON32,42.92979,-89.62338,pws
KWIBELLE10,42.86858,-89.53254,pws
KWIBELLE11,42.855,-89.53,pws
KWIBELLE13,42.85824,-89.5277,pws
KWIBELLE6,42.8337,-89.50536,pws
KWIBELLE16,42.834,-89.497,pws
KWIBELLE18,42.823,-89.5,pws
KWIBELLE14,42.91174,-89.51472,pws
KWIBELLE19,42.80769,-89.49295,pws
KWIBROOK82,42.884,-89.425,pws
KWIBROOK86,42.863,-89.416,pws
KWIBROOK63,42.81,-89.427,pws
KWIOREGO9,42.89954,-89.40326,pws
KWIBROOK37,42.86062,-89.37239,pws
KWIOREGO74,42.896,-89.366,pws
KWIOREGO30,42.906,-89.382,pws
KWIOREGO31,42.906,-89.382,pws
KWIOREGO40,42.903,-89.369,pws
KWIOREGO29,42.918,-89.417,pws
KWIOREGO32,42.884,-89.347,pws
KWIOREGO23,42.91423,-89.37505,pws
KWIOREGO36,42.915,-89.339,pws
KWIOREGO47,42.91439,-89.37463,pws
KWIEVANS7,42.835,-89.238,pws
KWISTOUG35,42.909,-89.246,pws
KWISTOUG19,42.91193,-89.24926,pws
KWISTOUG16,42.9125,-89.2486,pws
KWIEVANS3,42.79787,-89.30606,pws
KWISTOUG29,42.914,-89.232,pws
KWISTOUG22,42.90408,-89.19554,pws
KWISTOUG51,42.92197,-89.22926,pws
KWISTOUG11,42.92465,-89.24424,pws
KWISTOUG26,42.923,-89.226,pws
KWIEDGER26,42.848,-89.161,pws
KWIEDGER8,42.84183,-89.07649,pws
KWISTOUG45,42.933,-89.186,pws
KWIEDGER7,42.84251,-89.06005,pws
KWIEDGER18,42.83,-89.063,pws
KWIEDGER25,42.826,-89.067,pws
KWIEDGER4,42.82553,-89.06747,pws
KWIEDGER19,42.809,-89.051,pws
KWIEDGER6,42.79416,-89.0555,pws
KWIEDGER27,42.845,-89.012,pws
KWIMOUNT45,42.945,-89.684,pws
KWIMOUNT99,42.951,-89.739,pws
KWIMOUNT30,42.9613,-89.7301,pws
KWIMOUNT15,42.95903,-89.66802,pws
KWIVERON101,42.93,-89.624,pws
KWIVERON53,42.93,-89.623,pws
KWIVERON24,42.94528,-89.60196,pws
KWIOREGO34,42.927,-89.481,pws
KWIOREGO44,42.927,-89.481,pws
KWIOREGO52,42.927,-89.481,pws
KWIOREGO49,42.925,-89.477,pws
KWIOREGO27,42.92994,-89.48011,pws
KWIOREGO55,42.937,-89.484,pws
KWIOREGO58,42.915,-89.39,pws
KWIOREGO17,42.9186,-89.39571,pws
KWIOREGO25,42.91691,-89.38992,pws
KWIOREGO71,42.92341,-89.40025,pws
KWIOREGO46,42.915,-89.376,pws
KWIOREGO42,42.92406,-89.32946,pws
KWIOREGO51,42.934,-89.308,pws
KWISTOUG33,42.941,-89.282,pws
KWISTOUG43,42.926,-89.234,pws
KWISTOUG49,42.937,-89.226,pws
KWIMOUNT46,42.975,-89.695,pws
KWIMOUNT72,42.973,-89.676,pws
KWIVERON94,42.969,-89.641,pws
KWIVERON100,42.97971,-89.59991,pws
KWIVERON36,42.96391,-89.54779,pws
KWIVERON74,42.967,-89.537,pws
KWIVERON47,42.966,-89.532,pws
KWIVERON88,42.948,-89.511,pws
KWIVERON41,42.966,-89.529,pws
KWIVERON95,42.967,-89.53,pws
KWIOREGO54,42.936,-89.42,pws
KWIOREGO12,42.92671,-89.402,pws
KWIOREGO39,42.927,-89.402,pws
KWIOREGO43,42.924,-89.396,pws
KWIOREGO56,42.927,-89.388,pws
KWIOREGO33,42.923,-89.38,pws
KWIOREGO2,42.9209,-89.3856,pws
KWIOREGO59,42.917,-89.376,pws
KWIOREGO65,42.933,-89.38,pws
KWIOREGO66,42.944,-89.309,pws
KWIOREGO41,42.935,-89.373,pws
KWISTOUG44,42.948,-89.258,pws
KWISTOUG14,42.94335,-89.22005,pws
KWISTOUG38,42.947,-89.217,pws
KWISTOUG50,42.955,-89.222,pws
KWISTOUG5,42.98707,-89.14342,pws
KWISTOUG20,42.958,-89.22,pws
KWIMOUNT58,42.998,-89.725,pws
KWIMOUNT27,42.99485,-89.73953,pws
KWIMOUNT44,42.999,-89.721,pws
KWIVERON65,42.997,-89.663,pws
KWIVERON35,42.9757,-89.53921,pws
KWIVERON89,42.97778,-89.52231,pws
KWIVERON14,42.97783,-89.52221,pws
KWIVERON63,42.981,-89.525,pws
KWIVERON56,42.982,-89.516,pws
KWIFITCH23,42.97083,-89.43996,pws
KWIFITCH56,42.971,-89.44,pws
KWIMADIS303,42.98515,-89.45136,pws
KWIMCFAR16,42.973,-89.279,pws
KWISTOUG36,42.949,-89.255,pws
KWISTOUG25,42.94747,-89.24512,pws
KWISTOUG23,42.948,-89.243,pws
KWISTOUG9,42.95602,-89.23069,pws
KWISTOUG31,42.958,-89.226,pws
KWISTOUG2,42.96928,-89.2227,pws
KWIMOUNT14,42.99918,-89.72137,pws
KWIMOUNT28,42.99961,-89.72757,pws
KWIMOUNT107,43.005,-89.737,pws
KWIMOUNT48,43.002,-89.684,pws
KWIVERON96,42.998,-89.663,pws
KWIVERON5,43.01319,-89.6089,pws
KWIVERON55,43.01,-89.593,pws
KWIVERON49,42.995,-89.562,pws
KWIVERON72,42.996,-89.56,pws
KWIVERON28,42.99206,-89.54759,pws
KWIVERON43,42.99907,-89.54735,pws
KWIVERON70,43.00637,-89.54701,pws
